,Gene_0,Gene_1,Gene_2,Gene_3,Gene_4,Gene_5,Gene_6,Gene_7,Gene_8,Gene_9,Gene_10,Gene_11,Gene_12,Gene_13,Gene_14,Gene_15,Gene_16,Gene_17,Gene_18,Gene_19
789,62.0,17.0,30.0,17.0,22.0,22.0,30.0,25.0,28.0,23.0,18.0,18.0,20.0,17.0,21.0,18.0,16.0,16.0,19.0,16.0
790,64.0,14.0,28.0,17.0,20.0,20.0,26.0,29.0,28.0,23.0,19.0,19.0,21.0,21.0,18.0,18.0,16.0,16.0,21.0,17.0
791,67.0,15.0,28.0,16.0,19.0,24.0,24.0,25.0,26.0,20.0,20.0,19.0,21.0,23.0,19.0,21.0,17.0,14.0,23.0,16.0
792,62.0,22.0,25.0,16.0,20.0,27.0,25.0,27.0,21.0,21.0,20.0,19.0,21.0,24.0,19.0,19.0,16.0,15.0,25.0,16.0
793,62.0,22.0,24.0,16.0,20.0,25.0,24.0,25.0,21.0,21.0,19.0,23.0,23.0,21.0,21.0,19.0,16.0,17.0,24.0,16.0
794,59.0,20.0,24.0,16.0,23.0,21.0,26.0,23.0,19.0,20.0,17.0,26.0,24.0,19.0,23.0,18.0,18.0,13.0,24.0,14.0
795,62.0,21.0,23.0,20.0,23.0,22.0,26.0,21.0,19.0,21.0,15.0,25.0,25.0,17.0,28.0,15.0,22.0,13.0,24.0,12.0
796,63.0,21.0,23.0,18.0,21.0,18.0,26.0,20.0,18.0,22.0,19.0,22.0,25.0,17.0,29.0,18.0,25.0,13.0,23.0,14.0
797,66.0,21.0,24.0,17.0,18.0,19.0,26.0,22.0,18.0,24.0,21.0,22.0,25.0,17.0,25.0,17.0,23.0,16.0,20.0,15.0
798,67.0,17.0,23.0,19.0,17.0,23.0,24.0,21.0,20.0,26.0,20.0,21.0,27.0,18.0,23.0,14.0,18.0,18.0,23.0,17.0
799,63.0,15.0,22.0,18.0,21.0,25.0,23.0,21.0,17.0,26.0,19.0,20.0,25.0,22.0,20.0,18.0,18.0,19.0,23.0,14.0
800,70.0,16.0,20.0,16.0,16.0,22.0,23.0,19.0,17.0,22.0,21.0,19.0,24.0,24.0,16.0,21.0,19.0,19.0,22.0,16.0
801,69.0,21.0,21.0,17.0,16.0,20.0,21.0,21.0,16.0,22.0,24.0,18.0,24.0,24.0,18.0,20.0,19.0,17.0,25.0,18.0
802,67.0,20.0,18.0,14.0,16.0,21.0,25.0,22.0,17.0,20.0,23.0,19.0,21.0,22.0,18.0,20.0,21.0,18.0,27.0,16.0
