""
"ExternalSignal_n20_nr10_na10",21.4289359222991,20.9168362973917,20.914589735564,5.88600931604958,5.64549991939381,5.3992894885723,1.46464290916124,1.41371753282873,1.04574733786008,0.531703547761582,0.41384635150674,-0.664228127534894,-1.00568977814811,-1.64321707900599,-2.37604077162049,-2.41255748760447,-2.41272889148184,-3.07675008560648,-3.83942439890843,-3.84088875635016
"ExternalSignal_n20_nr1_na1",21.2136154022424,18.0815991162436,16.1188387471414,5.24172088224347,3.80208760400832,3.34548477305543,1.71150928223368,0.402323713896488,-0.134706125041285,-2.60070323442435,-2.82207928848872,-3.86184686474802,-3.88086926858106,-3.88248781328183,-6.17617649202031,-6.73434310777783,-10.4143984445108,-12.2223103481986,-17.3223905761738,-38.5331849055842
"ExternalSignal_n20_nr5_na5",20.0625178868781,19.9727965238366,4.7253020450119,3.56535822012967,3.31710557084236,0.64841877417422,-1.34719992143459,-1.3584115038433,-2.58176131161732,-2.65359765070296,-2.79273197117602,-3.83884075021624,-3.88461830405303,-3.90042496066342,-6.88580289487375,-8.44735001766874,-9.80177337751413,-10.7825627611511,-39.3409563092267,-39.4887680893195
"FullyConnected_n20_nr10_na10",22.2701669342493,19.1341368508476,17.7342062949226,5.17277119702265,5.04914349814927,4.05119054145125,-0.491599166402588,-0.512660413199647,-0.581464820113359,-1.99260120333764,-2.61071028153405,-2.62748684189825,-2.65294433363099,-3.87427617701421,-3.87862463486774,-3.88233801869578,-3.97929094932177,-27.0958652724303,-27.3795331476021,-28.2736091984712
"FullyRepressed20Genes_n20_nr20_na20",22.2701669342493,21.8485479789235,20.5800961660531,5.83615151056091,5.68467520455249,5.65186610602248,0.406693751816188,0.198466844132078,-2.41157759744212,-2.47700397836598,-2.69495075864452,-3.46289383562689,-3.86421240789469,-3.8672279779032,-3.87122948114607,-5.86991357819917,-12.8678592311239,-13.3574544268092,-16.0813381746888,-24.4469038496916
"OscillatingNetworks_0123Clock_n20_nr10_na10",20.3771261364429,17.0556236714844,17.0470473153148,4.26453938681957,3.75098728990168,1.71150928223368,-0.0579605019684017,-0.857437232431597,-2.3548184765905,-2.42447851619628,-2.70715290326651,-3.86490252344388,-3.87215995133762,-3.89057476862919,-4.49561620003587,-6.31715112801677,-7.18930763905187,-12.5751410621931,-29.876557134666,-32.8353930616956
"OscillatingNetworks_0123Clock_n20_nr15_na15",22.2701669342493,18.7172977189915,18.474281548886,5.04083911259348,4.67587749521645,4.5553083525033,0.834810918515726,-0.0648384083463042,-0.110162951913857,-2.42409049422583,-2.53404438613898,-2.6088074079802,-2.62487066845991,-3.8430639947043,-3.87966281428845,-3.880070245801,-5.56596054590289,-6.65810332927105,-21.6446975652135,-21.7934535974641
"OscillatingNetworks_0123Clock_n20_nr1_na1",18.318715541729,17.4514911598784,17.4461356969373,5.97588983192946,5.05034115430562,4.32204501417035,1.60567084242004,-0.212572355417329,-0.655886587923347,-1.16267274862344,-2.3667483915249,-2.42339130635796,-2.6277616349539,-3.37234331622325,-3.87706898525754,-3.88661053655109,-5.53598341678042,-5.81488022311385,-11.8926356025055,-14.5120491961819
"OscillatingNetworks_0123Clock_n20_nr5_na5",16.3387509439146,15.1468233432497,15.1321322175991,5.44009282265745,4.35631134054955,3.94118272199091,0.173226183863155,-1.00568977814811,-1.18201336957029,-1.29047592685822,-1.7999990975646,-2.63085852534841,-2.81310784207379,-3.89416830791431,-3.90251904549332,-3.91575980426116,-10.4520820228095,-34.843730239686,-39.3785665990213,-40.342589944352
"SparseConnection_n20_nr1_na1",17.0537623625324,17.0358884209724,4.63867571836959,3.81425693572602,3.75338737375284,1.71150928223368,-0.854666015747773,-0.856394858283327,-2.50965428086492,-2.55625084361141,-2.57720706103715,-3.87122619773394,-3.87302510824995,-3.87458543894097,-8.9753490986243,-8.98071828990206,-9.36357687508713,-21.7970562826202,-25.6877383468325,-32.8702577567543
"mediumConnection_n20_nr5_na5",15.944621573146,15.3423436573677,14.7000599182555,5.97588983192946,4.43162339516826,2.90408024644195,0.0701435344774488,-1.30330451028808,-1.54347699017792,-2.63404906412259,-2.65905745377185,-2.87738053648107,-3.87539069576705,-3.91017594040666,-3.91044065441743,-8.68450250520234,-10.4716937724671,-33.7820857481908,-37.3918745858798,-39.1606622549041
"n20MasterRegulator",22.2701669342493,19.0224426348356,16.9662942808455,4.75403911261034,4.70105499511515,4.69560876110378,0.514121095986909,-0.0649618183934577,-2.46147919606931,-2.47955777651495,-2.49806922437971,-3.59091260280399,-3.86694957561346,-3.87130519929213,-3.87237137645685,-4.75982558191797,-6.5752902164892,-8.11332526787819,-14.788903928861,-25.3390768692888
