0.000000	0.000005	0.000023	0.000046	0.000079	0.000128	0.000191	0.000239	0.000328	0.000420
0.735101	0.746383	0.758577	0.761504	0.727102	0.763564	0.822551	0.885699	0.894802	0.891399
0.302277	0.295248	0.306064	0.309049	0.351427	0.359094	0.497599	0.606653	0.507485	0.747297
0.030774	0.057646	0.096446	0.173398	0.286495	0.370748	0.497783	0.540725	0.660887	0.748602
1.133132	1.178542	1.252040	1.385555	1.405929	1.543444	1.546313	1.623805	1.731716	2.026788
0.000000	0.000005	0.000018	0.000042	0.000075	0.000121	0.000159	0.000222	0.000290	0.000341
0.385643	0.390388	0.442614	0.492894	0.664281	0.832922	1.010611	1.033687	1.038331	1.424174
0.935079	0.937081	1.021390	1.398832	1.245242	1.552081	1.872358	2.260588	2.922988	2.525216
0.000000	0.000000	0.000000	0.000000	0.000001	0.000001	0.000002	0.000002	0.000003	0.000004
0.000000	0.000000	0.000000	0.000000	0.000001	0.000001	0.000002	0.000002	0.000003	0.000004
0.891907	0.892709	0.907429	0.926462	0.918719	0.948530	0.955818	0.999918	1.029797	1.058821
0.000000	0.000000	0.000000	0.000000	0.000001	0.000001	0.000002	0.000002	0.000002	0.000004
0.147394	0.147831	0.148851	0.150585	0.152816	0.154919	0.151988	0.161406	0.166572	0.170773
0.724836	0.728485	0.630796	0.749676	1.187869	0.987719	0.866238	0.690326	1.391129	0.873301
0.867939	0.868286	0.866894	0.868796	0.869853	0.868667	0.867657	0.868201	0.870302	0.867930
0.795262	0.989151	0.952143	1.052317	1.438067	1.131897	1.550346	1.545756	1.251490	1.428075
0.000000	0.000006	0.000022	0.000044	0.000088	0.000147	0.000203	0.000241	0.000340	0.000444
0.000000	0.000005	0.000022	0.000047	0.000086	0.000131	0.000194	0.000267	0.000348	0.000396
0.000000	0.000005	0.000021	0.000050	0.000088	0.000134	0.000193	0.000265	0.000349	0.000431
0.497111	0.500791	0.518177	0.508971	0.554629	0.552365	0.580948	0.601588	0.614793	0.706032
