,Gene_0,Gene_1,Gene_2,Gene_3,Gene_4,Gene_5,Gene_6,Gene_7,Gene_8,Gene_9,Gene_10,Gene_11,Gene_12,Gene_13,Gene_14,Gene_15,Gene_16,Gene_17,Gene_18,Gene_19
0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,84.0,46.0,22.0,18.0,78.0,42.0,0.0,0.0,23.0,0.0,59.0,0.0,0.0,37.0,59.0,66.0,0.0,0.0,54.0,0.0
3,139.0,119.0,86.0,64.0,97.0,37.0,0.0,0.0,74.0,0.0,89.0,0.0,4.0,85.0,94.0,90.0,0.0,0.0,69.0,0.0
4,129.0,185.0,156.0,135.0,119.0,34.0,0.0,0.0,120.0,0.0,109.0,0.0,12.0,136.0,107.0,107.0,0.0,0.0,86.0,0.0
5,126.0,237.0,238.0,196.0,127.0,34.0,0.0,0.0,173.0,0.0,118.0,0.0,21.0,179.0,119.0,112.0,0.0,0.0,107.0,0.0
6,110.0,287.0,308.0,241.0,121.0,32.0,0.0,0.0,220.0,0.0,118.0,0.0,26.0,235.0,120.0,115.0,0.0,0.0,113.0,0.0
7,100.0,331.0,366.0,294.0,126.0,30.0,0.0,0.0,281.0,0.0,125.0,0.0,32.0,276.0,126.0,118.0,0.0,0.0,113.0,0.0
8,92.0,370.0,405.0,353.0,124.0,28.0,0.0,0.0,346.0,0.0,132.0,0.0,35.0,310.0,127.0,121.0,0.0,0.0,115.0,0.0
9,86.0,410.0,452.0,415.0,127.0,25.0,0.0,0.0,397.0,0.0,140.0,0.0,41.0,354.0,129.0,124.0,0.0,0.0,119.0,0.0
10,81.0,446.0,495.0,471.0,129.0,25.0,0.0,0.0,451.0,0.0,148.0,0.0,39.0,390.0,125.0,120.0,0.0,0.0,124.0,0.0
11,73.0,459.0,524.0,533.0,132.0,24.0,0.0,0.0,470.0,0.0,140.0,0.0,41.0,443.0,121.0,121.0,0.0,0.0,120.0,0.0
12,66.0,486.0,574.0,569.0,129.0,20.0,0.0,0.0,499.0,0.0,134.0,0.0,43.0,474.0,133.0,126.0,0.0,0.0,122.0,0.0
13,62.0,502.0,622.0,602.0,131.0,17.0,0.0,0.0,524.0,0.0,129.0,0.0,40.0,513.0,139.0,129.0,0.0,0.0,120.0,0.0
