,Gene_0,Gene_1,Gene_2,Gene_3,Gene_4,Gene_5,Gene_6,Gene_7,Gene_8,Gene_9,Gene_10,Gene_11,Gene_12,Gene_13,Gene_14,Gene_15,Gene_16,Gene_17,Gene_18,Gene_19
841,0.0,3.0,12.0,0.0,12.0,0.0,6.0,1.0,0.0,0.0,20.0,0.0,1.0,144.0,0.0,13.0,0.0,0.0,0.0,132.0
842,0.0,14.0,13.0,0.0,11.0,0.0,6.0,1.0,0.0,0.0,46.0,0.0,1.0,159.0,0.0,18.0,0.0,0.0,0.0,133.0
843,0.0,12.0,20.0,0.0,23.0,0.0,8.0,1.0,0.0,0.0,53.0,0.0,1.0,189.0,0.0,21.0,0.0,0.0,0.0,128.0
844,0.0,12.0,29.0,0.0,38.0,0.0,16.0,1.0,0.0,0.0,58.0,0.0,1.0,221.0,1.0,21.0,0.0,0.0,0.0,137.0
845,0.0,10.0,33.0,1.0,33.0,0.0,18.0,1.0,0.0,0.0,53.0,0.0,1.0,248.0,1.0,21.0,0.0,0.0,0.0,139.0
846,0.0,8.0,35.0,1.0,29.0,0.0,24.0,1.0,0.0,0.0,49.0,0.0,1.0,273.0,1.0,19.0,0.0,0.0,0.0,136.0
847,0.0,8.0,36.0,0.0,28.0,0.0,32.0,1.0,0.0,0.0,44.0,0.0,1.0,313.0,1.0,18.0,0.0,0.0,0.0,140.0
848,0.0,8.0,45.0,0.0,27.0,0.0,35.0,1.0,0.0,0.0,39.0,0.0,1.0,334.0,1.0,16.0,0.0,0.0,0.0,138.0
849,0.0,6.0,49.0,0.0,27.0,0.0,30.0,1.0,0.0,0.0,38.0,0.0,1.0,356.0,1.0,15.0,0.0,0.0,0.0,136.0
850,0.0,6.0,50.0,0.0,25.0,0.0,30.0,1.0,0.0,0.0,35.0,0.0,1.0,382.0,1.0,15.0,0.0,0.0,0.0,130.0
851,0.0,5.0,56.0,0.0,23.0,0.0,32.0,1.0,0.0,0.0,33.0,0.0,1.0,402.0,1.0,13.0,0.0,0.0,0.0,135.0
852,0.0,4.0,55.0,0.0,21.0,0.0,35.0,1.0,0.0,0.0,31.0,0.0,1.0,421.0,1.0,12.0,0.0,0.0,0.0,137.0
853,0.0,4.0,53.0,0.0,18.0,0.0,33.0,1.0,0.0,0.0,27.0,0.0,1.0,424.0,1.0,11.0,0.0,0.0,0.0,139.0
854,0.0,8.0,57.0,0.0,15.0,0.0,35.0,1.0,0.0,0.0,42.0,0.0,1.0,416.0,1.0,15.0,0.0,0.0,0.0,140.0
855,0.0,8.0,56.0,0.0,13.0,0.0,35.0,0.0,0.0,0.0,38.0,0.0,1.0,408.0,1.0,14.0,0.0,0.0,0.0,135.0
856,0.0,8.0,52.0,0.0,12.0,0.0,34.0,0.0,0.0,0.0,35.0,0.0,1.0,404.0,1.0,13.0,0.0,0.0,0.0,145.0
857,0.0,6.0,54.0,0.0,10.0,0.0,29.0,0.0,0.0,0.0,31.0,0.0,1.0,396.0,1.0,11.0,0.0,0.0,0.0,145.0
858,0.0,5.0,54.0,0.0,9.0,0.0,28.0,0.0,0.0,0.0,25.0,0.0,1.0,368.0,1.0,10.0,0.0,0.0,0.0,138.0
859,0.0,4.0,51.0,0.0,9.0,0.0,19.0,0.0,0.0,0.0,19.0,0.0,1.0,344.0,1.0,9.0,0.0,0.0,0.0,129.0
860,0.0,2.0,45.0,0.0,8.0,0.0,14.0,0.0,0.0,0.0,16.0,0.0,1.0,306.0,1.0,7.0,0.0,0.0,0.0,134.0
861,0.0,1.0,37.0,0.0,7.0,0.0,11.0,0.0,0.0,0.0,12.0,0.0,1.0,267.0,1.0,7.0,0.0,0.0,0.0,132.0
862,0.0,0.0,28.0,0.0,6.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,1.0,225.0,1.0,7.0,0.0,0.0,0.0,127.0
863,0.0,0.0,20.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,8.0,0.0,1.0,189.0,1.0,5.0,0.0,0.0,0.0,127.0
864,0.0,0.0,17.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,5.0,0.0,1.0,149.0,1.0,4.0,0.0,0.0,0.0,135.0
865,0.0,0.0,13.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,5.0,0.0,1.0,116.0,1.0,2.0,0.0,0.0,0.0,132.0
866,0.0,2.0,12.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,9.0,0.0,1.0,98.0,0.0,15.0,0.0,0.0,0.0,129.0
867,0.0,3.0,10.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,13.0,0.0,1.0,92.0,1.0,26.0,0.0,0.0,0.0,124.0
868,0.0,2.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,0.0,1.0,96.0,1.0,21.0,0.0,0.0,0.0,114.0
869,0.0,3.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,12.0,0.0,1.0,100.0,0.0,24.0,0.0,0.0,0.0,119.0
870,0.0,3.0,16.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,24.0,0.0,1.0,114.0,0.0,27.0,0.0,0.0,0.0,123.0
871,0.0,5.0,23.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,46.0,0.0,1.0,124.0,1.0,34.0,0.0,0.0,0.0,128.0
872,0.0,4.0,25.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,43.0,0.0,1.0,132.0,1.0,32.0,0.0,0.0,0.0,122.0
873,0.0,4.0,30.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,38.0,0.0,1.0,164.0,1.0,27.0,0.0,0.0,0.0,126.0
