4.164274	6.001359	7.273273	10.563870	11.406730	3.837140	2.732074	3.887460	3.565187	9.123539	3.826777	10.684330	3.026592	6.647614	1.655761	4.038876	6.971312	2.826109	3.441614	2.826109
5.289547	5.869341	6.338124	7.473607	6.673326	4.337557	5.410662	5.415821	4.395611	6.002841	5.267560	6.427872	5.087101	5.259494	5.044986	5.184827	5.795953	4.419377	4.387014	4.419377
5.367339	5.240803	5.385409	5.478670	5.924810	5.615263	4.993285	5.196616	5.594392	5.716601	5.173829	5.901957	5.176548	5.642963	4.896260	5.340509	5.512526	5.368542	5.605135	5.368542
4.967618	4.850377	5.250802	5.583479	7.310017	5.804880	3.920712	4.790438	5.674528	6.886970	4.918029	7.772945	4.753763	5.895444	3.340385	5.252868	5.611120	5.138129	5.639365	5.138129
3.699058	3.878052	4.796789	5.791857	11.312177	5.424210	2.220256	3.513391	5.035547	10.897672	4.220239	12.793808	3.267847	6.382553	1.410527	4.205677	6.946680	3.924318	4.855029	3.924318
4.715939	5.313663	5.921149	6.830807	8.299472	4.849837	4.055443	4.879579	4.796541	7.410541	4.992735	8.608174	4.628527	5.842638	3.293414	4.995660	5.552627	4.369824	4.773609	4.369824
3.029584	4.805955	7.040209	7.684714	14.004538	4.195781	1.478628	2.932430	3.732430	11.775388	3.309397	13.243150	2.138372	7.557795	0.594614	3.386928	9.212902	2.450114	3.476955	2.450114
5.159305	5.931016	6.551853	8.370809	7.538923	4.143214	4.929267	5.122502	4.184637	6.614599	5.000407	7.242081	4.679629	5.575988	4.333551	4.889899	5.929492	4.050646	4.201541	4.050646
5.704119	5.921818	6.234518	6.959711	5.663798	4.016944	6.398386	5.611456	4.134627	5.516927	5.415634	5.449166	5.432032	5.035143	6.540490	5.140007	6.383662	4.426266	4.089029	4.426266
4.149739	4.252758	4.499970	5.411281	10.482755	5.583852	2.368118	3.644548	5.206035	10.583374	4.666057	12.649556	3.469258	6.320108	1.498178	4.379644	6.355298	4.009991	4.959488	4.009991
4.353207	4.012546	5.048977	6.046091	11.874213	5.307689	2.135925	3.341343	4.850376	10.716163	3.644250	12.341868	2.987790	6.630217	1.324253	4.155329	7.519893	3.743314	4.723242	3.743314
5.253970	4.894456	5.190294	5.753050	10.661191	5.351479	2.555368	3.664143	4.990244	9.524388	3.745760	10.777757	3.291176	6.582598	1.806060	4.542521	6.976476	4.005175	4.928717	4.005175
5.526928	5.523661	5.469302	5.440446	5.190487	5.170609	5.815193	5.452952	5.178098	5.294625	5.410603	5.269273	5.410291	5.496311	6.081217	5.283338	5.683790	5.288993	5.224892	5.288993
5.235889	6.281505	6.915522	10.133672	7.867751	3.491646	5.013565	5.065162	3.506596	6.828794	4.708513	7.275928	4.373231	5.459524	4.443841	4.835309	6.659537	3.453137	3.497741	3.453137
5.376497	5.109284	5.185280	5.612012	9.100144	5.480716	3.297115	4.177055	5.240291	8.236617	4.063940	9.352336	3.928451	6.240634	2.713267	4.840573	6.254144	4.523525	5.244594	4.523525
5.600699	6.038889	6.840257	9.339595	6.123683	3.318815	6.490873	5.161529	3.438839	5.685739	4.880818	5.442827	4.536494	6.119045	6.653740	4.394656	7.659265	3.676238	3.421761	3.676238
5.562213	5.459684	5.352815	5.370628	5.723759	5.481126	5.161475	5.281126	5.449966	5.804274	5.264385	5.733724	5.231837	5.625383	5.054029	5.395680	5.431229	5.334906	5.446858	5.334906
5.495118	5.589091	5.576710	5.577871	5.148487	5.027858	5.988959	5.527955	5.067833	5.271162	5.509265	5.244736	5.480326	5.316393	6.217939	5.282684	5.616754	5.245836	5.069187	5.245836
4.410995	4.744315	5.464433	6.059511	9.000801	5.341906	3.374302	4.530910	5.181285	8.155749	5.052507	9.646097	4.377893	5.934922	2.522486	4.966228	5.685273	4.462345	5.125700	4.462345
5.495118	5.589091	5.576710	5.577871	5.148487	5.027858	5.988959	5.527955	5.067833	5.271162	5.509265	5.244736	5.480326	5.316393	6.217939	5.282684	5.616754	5.245836	5.069187	5.245836
